Links,Description,Price
https://www.rightmove.co.uk/properties/121719929#/?channel=RES_BUY,3 bedroom apartment for sale,"£2,890,000"
https://www.rightmove.co.uk/properties/121721465#/?channel=RES_BUY,2 bedroom flat for sale,"£625,000"
https://www.rightmove.co.uk/properties/121721126#/?channel=RES_BUY,2 bedroom apartment for sale,"£2,100,000"
https://www.rightmove.co.uk/properties/121720160#/?channel=RES_BUY,2 bedroom flat for sale,"£435,000"
https://www.rightmove.co.uk/properties/119078891#/?channel=RES_BUY,1 bedroom apartment for sale,"£325,000"
https://www.rightmove.co.uk/properties/121717607#/?channel=RES_BUY,3 bedroom flat for sale,"£1,650,000"
https://www.rightmove.co.uk/properties/121707659#/?channel=RES_BUY,Studio apartment for sale,"£350,000"
https://www.rightmove.co.uk/properties/121705691#/?channel=RES_BUY,Studio apartment for sale,"£315,000"
https://www.rightmove.co.uk/properties/121705511#/?channel=RES_BUY,3 bedroom penthouse for sale,"£2,600,000"
https://www.rightmove.co.uk/properties/121704434#/?channel=RES_BUY,2 bedroom flat for sale,"£550,000"
https://www.rightmove.co.uk/properties/120483299#/?channel=RES_BUY,3 bedroom flat for sale,"£450,000"
https://www.rightmove.co.uk/properties/119279195#/?channel=RES_BUY,2 bedroom apartment for sale,"£575,000"
https://www.rightmove.co.uk/properties/121700741#/?channel=RES_BUY,2 bedroom flat for sale,"£525,000"
https://www.rightmove.co.uk/properties/121698422#/?channel=RES_BUY,5 bedroom terraced house for sale,"£1,500,000"
https://www.rightmove.co.uk/properties/121696982#/?channel=RES_BUY,2 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/121694801#/?channel=RES_BUY,1 bedroom apartment for sale,"£325,000"
https://www.rightmove.co.uk/properties/121694126#/?channel=RES_BUY,2 bedroom flat for sale,"£350,000"
https://www.rightmove.co.uk/properties/121692710#/?channel=RES_BUY,6 bedroom terraced house for sale,"£1,300,000"
https://www.rightmove.co.uk/properties/121691963#/?channel=RES_BUY,2 bedroom house for sale,"£925,000"
https://www.rightmove.co.uk/properties/121467146#/?channel=RES_BUY,1 bedroom flat for sale,"£325,000"
https://www.rightmove.co.uk/properties/121169753#/?channel=RES_BUY,1 bedroom flat for sale,"£365,000"
https://www.rightmove.co.uk/properties/119792669#/?channel=RES_BUY,1 bedroom flat for sale,"£375,000"
https://www.rightmove.co.uk/properties/121689146#/?channel=RES_BUY,2 bedroom maisonette for sale,"£400,000"
https://www.rightmove.co.uk/properties/120453323#/?channel=RES_BUY,Studio flat for sale,"£250,000"
https://www.rightmove.co.uk/properties/119562770#/?channel=RES_BUY,2 bedroom flat for sale,"£475,000"
https://www.rightmove.co.uk/properties/121681784#/?channel=RES_BUY,3 bedroom apartment for sale,"£1,480,000"
https://www.rightmove.co.uk/properties/117989951#/?channel=RES_BUY,2 bedroom house boat for sale,"£175,000"
https://www.rightmove.co.uk/properties/121679615#/?channel=RES_BUY,2 bedroom apartment for sale,"£435,000"
https://www.rightmove.co.uk/properties/83289645#/?channel=RES_BUY,2 bedroom house boat for sale,"£175,000"
https://www.rightmove.co.uk/properties/121679129#/?channel=RES_BUY,1 bedroom flat for sale,"£850,000"
https://www.rightmove.co.uk/properties/121678739#/?channel=RES_BUY,3 bedroom flat for sale,"£440,000"
https://www.rightmove.co.uk/properties/119538371#/?channel=RES_BUY,1 bedroom flat for sale,"£380,000"
https://www.rightmove.co.uk/properties/121065386#/?channel=RES_BUY,1 bedroom flat for sale,"£310,000"
https://www.rightmove.co.uk/properties/120153749#/?channel=RES_BUY,2 bedroom flat for sale,"£475,000"
https://www.rightmove.co.uk/properties/121674593#/?channel=RES_BUY,2 bedroom flat for sale,"£450,000"
https://www.rightmove.co.uk/properties/118722917#/?channel=RES_BUY,2 bedroom apartment for sale,"£875,000"
https://www.rightmove.co.uk/properties/115439972#/?channel=RES_BUY,2 bedroom apartment for sale,"£540,000"
https://www.rightmove.co.uk/properties/121674389#/?channel=RES_BUY,Studio flat for sale,"£275,000"
https://www.rightmove.co.uk/properties/121667432#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,300,000"
https://www.rightmove.co.uk/properties/120969458#/?channel=RES_BUY,3 bedroom house for sale,"£1,000,000"
https://www.rightmove.co.uk/properties/73610298#/?channel=RES_BUY,1 bedroom apartment for sale,"£800,000"
https://www.rightmove.co.uk/properties/121121072#/?channel=RES_BUY,2 bedroom penthouse for sale,"£685,000"
https://www.rightmove.co.uk/properties/121671560#/?channel=RES_BUY,1 bedroom flat for sale,"£425,000"
https://www.rightmove.co.uk/properties/121640801#/?channel=RES_BUY,1 bedroom apartment for sale,"£745,000"
https://www.rightmove.co.uk/properties/121640990#/?channel=RES_BUY,1 bedroom apartment for sale,"£945,000"
https://www.rightmove.co.uk/properties/121641218#/?channel=RES_BUY,3 bedroom flat for sale,"£1,675,000"
https://www.rightmove.co.uk/properties/121640996#/?channel=RES_BUY,3 bedroom apartment for sale,"£1,995,000"
https://www.rightmove.co.uk/properties/121669112#/?channel=RES_BUY,3 bedroom flat for sale,"£425,000"
https://www.rightmove.co.uk/properties/121668116#/?channel=RES_BUY,4 bedroom flat for sale,"£675,000"
https://www.rightmove.co.uk/properties/121667606#/?channel=RES_BUY,3 bedroom terraced house for sale,"£800,000"
https://www.rightmove.co.uk/properties/121156784#/?channel=RES_BUY,2 bedroom flat for sale,"£450,000"
https://www.rightmove.co.uk/properties/121657610#/?channel=RES_BUY,1 bedroom flat for sale,"£315,000"
